2015-06-13 20:41:51 INFO  GoeuroService:28 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
2015-06-13 20:42:47 INFO  App:19 - Hello
2015-06-13 20:42:47 INFO  GoeuroService:22 - Start hitting query
2015-06-13 20:42:47 INFO  GoeuroService:26 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:42:48 INFO  GoeuroService:28 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
2015-06-13 20:42:48 ERROR App:28 - Error encountered: java.util.LinkedHashMap cannot be cast to com.azouz.goeuro.model.CityLocation
2015-06-13 20:44:34 INFO  App:19 - Hello
2015-06-13 20:44:34 INFO  GoeuroService:22 - Start hitting query
2015-06-13 20:44:34 INFO  GoeuroService:26 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:44:34 INFO  GoeuroService:28 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
2015-06-13 20:44:34 ERROR App:28 - Error encountered: java.util.LinkedHashMap cannot be cast to com.azouz.goeuro.model.CityLocation
2015-06-13 20:45:05 INFO  App:19 - Hello
2015-06-13 20:45:05 INFO  GoeuroService:22 - Start hitting query
2015-06-13 20:45:05 INFO  GoeuroService:26 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:45:06 INFO  GoeuroService:28 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
2015-06-13 20:45:48 INFO  App:19 - Hello
2015-06-13 20:45:48 INFO  GoeuroService:22 - Start hitting query
2015-06-13 20:45:48 INFO  GoeuroService:26 - Call URL: http://api.goeuro.com/api/v2/position/suggest/en/hel
2015-06-13 20:45:48 INFO  GoeuroService:28 - Response: [{_id=378980, key=null, name=Helsinki, fullName=Helsinki, Finland, iata_airport_code=null, type=location, country=Finland, geo_position={latitude=60.16952, longitude=24.93545}, locationId=11167, inEurope=true, countryCode=FI, coreCountry=false, distance=null}, {_id=406000, key=null, name=Helsingborg, fullName=Helsingborg, Sweden, iata_airport_code=null, type=location, country=Sweden, geo_position={latitude=56.04673, longitude=12.69437}, locationId=38234, inEurope=true, countryCode=SE, coreCountry=false, distance=null}, {_id=393268, key=null, name=Helmond, fullName=Helmond, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=51.48167, longitude=5.66111}, locationId=25480, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=393266, key=null, name=Hellendoorn, fullName=Hellendoorn, Netherlands, iata_airport_code=null, type=location, country=Netherlands, geo_position={latitude=52.3833333, longitude=6.45}, locationId=25478, inEurope=true, countryCode=NL, coreCountry=true, distance=null}, {_id=314920, key=null, name=Helsinki, fullName=Helsinki (HEL), Finland, iata_airport_code=HEL, type=airport, country=Finland, geo_position={latitude=60.31722, longitude=24.96333}, locationId=null, inEurope=true, countryCode=FI, coreCountry=false, distance=null}]
